sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_averageprice, sa22016code, dateyear, propertycategorisation, state, for_sale_both_auction_private_treaty_averageprice, datemonth, for_sale_both_auction_private_treaty_medianprice
810000,951167.7,210021235,2021,House,VIC,887851.8,12,750000
834900,933739.6,214021384,2021,House,VIC,872948.1,12,775000
930000,970829.1,211011256,2021,House,VIC,894184.6,12,817575
1005250,1045038,211011257,2021,House,VIC,927276.8,12,892500
1056500,1108451,211011258,2021,House,VIC,986419.8,12,930000
613250,618556.5,210051249,2021,House,VIC,604349.3,12,582500
2250000,2378287,208011173,2021,House,VIC,2105307,12,1900000
730000,731311.6,213021345,2021,House,VIC,693123.4,12,695000
825250,855489.2,214011375,2021,House,VIC,763948.4,12,750000
1180000,1177851,213031350,2021,House,VIC,1029292,12,990000
815000,862684.8,214011376,2021,House,VIC,801800.9,12,745000
770000,878937.6,214021385,2021,House,VIC,767359.7,12,702300
1737500,2039703,206051132,2021,House,VIC,1794219,12,1525000
735000,790998.1,209041435,2021,House,VIC,709446.7,12,640000
720000,739904.6,209041436,2021,House,VIC,641240.1,12,574350
2125000,2862723,206061137,2021,House,VIC,2411020,12,1900000
2785000,3234576,206041125,2021,House,VIC,2740167,12,1825000
675000,916965.8,206041126,2021,House,VIC,895038.1,12,580000
777250,799545.6,212041317,2021,House,VIC,750867.8,12,712500
770000,739569.3,212041318,2021,House,VIC,684414.1,12,700000
669500,682395.8,213011334,2021,House,VIC,654083.8,12,620000
671000,694683.4,213011335,2021,House,VIC,656879.4,12,620000
1740000,2259442,206051133,2021,House,VIC,1889177,12,1500000
1562500,1672557,206051134,2021,House,VIC,1357583,12,1387500
1500000,1570196,210011231,2021,House,VIC,1409494,12,1297500
685000,801956.9,210041240,2021,House,VIC,877522.9,12,665000
625000,663944.9,210041241,2021,House,VIC,567075.8,12,550000
865000,885815.1,213011336,2021,House,VIC,777293.7,12,750000
695000,716664.8,213011337,2021,House,VIC,693632.4,12,685000
701000,727591.1,213011338,2021,House,VIC,677615.1,12,650000
2021888,2114474,207031167,2021,House,VIC,1942281,12,1837500
2780000,3125629,207011155,2021,House,VIC,3031290,12,2500000
620000,634412.4,213011339,2021,House,VIC,576886.2,12,549000
600000,615289.3,213051365,2021,House,VIC,562859.9,12,555000
743750,771856.8,213041360,2021,House,VIC,695877,12,690000
881000,937834.6,213011340,2021,House,VIC,806982.5,12,780000
1610500,1816276,207021159,2021,House,VIC,1805045,12,1500000
1360000,1356406,207021160,2021,House,VIC,1244871,12,1250000
904000,951051.5,211011449,2021,House,VIC,915285.3,12,750000
718500,729035.9,209041223,2021,House,VIC,687791.6,12,650000
1388000,1404294,206021112,2021,House,VIC,1227554,12,1250000
5087500,6442261,206061138,2021,House,VIC,6973788,12,5500000
619000,631971.4,213051366,2021,House,VIC,571018.8,12,561200
750000,753123.2,210051250,2021,House,VIC,636931.5,12,622500
900000,939305.8,211051284,2021,House,VIC,846183.8,12,795000
1200000,1222317,211041272,2021,House,VIC,1147700,12,1050000
1410000,1414443,211041273,2021,House,VIC,1363232,12,1280000
1081250,1124953,209011203,2021,House,VIC,984930.9,12,915000
612500,702069.6,209041224,2021,House,VIC,562427.4,12,526889
790000,920045.5,211051285,2021,House,VIC,880350.4,12,749975
1046500,1050255,211011259,2021,House,VIC,891845.1,12,799500
1186000,1202570,211011260,2021,House,VIC,1068074,12,1012500
1616250,1842117,211021262,2021,House,VIC,1831941,12,1525000
950000,976908.2,209011204,2021,House,VIC,826414.8,12,790000
995051,1069481,209031215,2021,House,VIC,1012771,12,890000
530000,558219.7,213051467,2021,House,VIC,540243.6,12,529500
675000,729857.9,213051368,2021,House,VIC,711958.8,12,639950
580000,617495.4,213051468,2021,House,VIC,556621.6,12,540000
930000,981108.3,213031351,2021,House,VIC,827967.8,12,790000
1370500,1511540,212051327,2021,House,VIC,1544771,12,1260000
650000,799566.2,209041225,2021,House,VIC,591528.6,12,547737.5
1585000,1728549,213021346,2021,House,VIC,1586989,12,1400000
630000,651267.3,209041437,2021,House,VIC,585020.1,12,580000
558500,563526.8,213051369,2021,House,VIC,521515.1,12,524650
1635000,1920213,206071145,2021,House,VIC,1639640,12,1550000
665000,723607.6,211051286,2021,House,VIC,702592.4,12,620000
1162500,1231692,213031352,2021,House,VIC,1109403,12,1050000
